longitude,latitude,month,year,temperature_min,temperature_max,temperature_avg
41.5,39.5,1.0,2010.0,-9.65328073501587,0.5842163562774658,-4.722201585769653
41.5,39.5,1.0,2011.0,-12.800349116325378,-0.4255845546722412,-6.618499279022217
41.5,39.5,1.0,2012.0,-14.500847190618515,-2.926380217075348,-8.83125664293766
41.5,39.5,1.0,2013.0,-13.762959361076355,-2.3423229455947876,-7.790592551231384
41.5,39.5,1.0,2014.0,-14.346466094255447,-1.6960021257400513,-8.878721326589584
41.5,39.5,1.0,2015.0,-13.713184297084808,-1.8795711994171143,-7.126460909843445
41.5,39.5,1.0,2016.0,-14.760449022054672,-3.5836774557828903,-9.281614780426025
41.5,39.5,1.0,2017.0,-17.184956550598145,-5.204553604125977,-11.06389331817627
41.5,39.5,1.0,2018.0,-10.462982177734375,0.5053071975708008,-5.1449689865112305
41.5,39.5,1.0,2019.0,-13.120511293411255,-1.880266547203064,-7.613573789596558
42.5,40.5,1.0,2010.0,-9.314658641815186,1.1242148876190186,-4.314733028411865
42.5,40.5,1.0,2011.0,-12.535624027252197,-0.29013991355895996,-6.459884166717529
42.5,40.5,1.0,2012.0,-14.534175127744675,-2.443601965904236,-8.396363541483879
42.5,40.5,1.0,2013.0,-13.300885677337646,-1.7191293239593506,-7.495618939399719
42.5,40.5,1.0,2014.0,-14.302303105592728,-2.017518997192383,-8.61513240635395
42.5,40.5,1.0,2015.0,-13.00744903087616,-0.4305696487426758,-6.456433534622192
42.5,40.5,1.0,2016.0,-14.076884921640158,-2.703614681959152,-8.442970298230648
42.5,40.5,1.0,2017.0,-17.42586851119995,-5.7493932247161865,-11.69077754020691
42.5,40.5,1.0,2018.0,-10.696200370788574,0.33782219886779785,-4.947454929351807
42.5,40.5,1.0,2019.0,-12.513451218605042,-0.8619463443756104,-6.861531019210815
43.5,39.5,1.0,2010.0,-8.683470726013184,2.276329278945923,-3.2125449180603027
43.5,39.5,1.0,2011.0,-12.242783904075623,-0.08164000511169434,-6.136544704437256
43.5,39.5,1.0,2012.0,-13.340524196624756,-0.9690573215484619,-7.052870035171509
43.5,39.5,1.0,2013.0,-12.697463512420654,-0.5918645858764648,-6.9135037660598755
43.5,39.5,1.0,2014.0,-14.030005365610123,-2.1629408597946167,-8.238125547766685
43.5,39.5,1.0,2015.0,-12.39610767364502,0.7705109119415283,-5.509362697601318
43.5,39.5,1.0,2016.0,-13.626811787486076,-1.7691838145256042,-7.705580055713654
43.5,39.5,1.0,2017.0,-17.83328151702881,-6.353700399398804,-11.898282289505005
43.5,39.5,1.0,2018.0,-10.208426713943481,1.8217709064483643,-3.9576468467712402
43.5,39.5,1.0,2019.0,-11.991217851638794,0.17314434051513672,-5.71906590461731
42.5,39.5,1.0,2010.0,-8.258885860443115,2.298518419265747,-3.102475166320801
42.5,39.5,1.0,2011.0,-11.625534892082214,0.682030439376831,-5.4721386432647705
42.5,39.5,1.0,2012.0,-13.099378088954836,-1.0913472175598145,-7.093157380819321
42.5,39.5,1.0,2013.0,-12.37751567363739,-0.6069067716598511,-6.489714086055756
42.5,39.5,1.0,2014.0,-13.312943279743195,-0.9858945608139038,-7.648571386933327
